URL,content_id,rendering_app,publishing_app,document_type,format,schema_name,taxon_title,taxon_base_path,taxon_description
https://www.gov.uk/government/collections/academy-sponsorship,5ebefb2c-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/adoption-overseas,5f18b8eb-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/adult-skills-international-survey,5feb6055-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/agriculture-horticulture-and-animal-care-apprenticeships,602d3ae7-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/alternative-provision-academies,5ebf0044-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/alternative-provision-free-school-funding-agreements,5efa9a35-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/apprenticeship-changes,5fe53c39-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/apprenticeship-grant-for-employers-of-16-to-24-year-olds,c7aa7fcb-1f70-438f-a04b-48baa5d08d28,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/apprenticeship-vacancies,d35955d6-fb63-43df-9d8c-8f5543808e9d,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/apprenticeships-resources-for-teachers-and-advisers,c2edbf28-81ba-4987-ab23-bf29f1cc56fa,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/arts-media-and-publishing-apprenticeships,d3751ca3-60f7-4ef2-baf6-5376ef91f6ec,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/awarding-of-gcses-as-and-a-levels-information-for-summer-2015,0396822b-34ed-43bf-89c6-fbbc2a7dfbf2,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/bailey-review,5eb782a1-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/business-administration-and-law-apprenticeships,ac22e645-cf62-4300-9968-5e6e25f9d29f,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/buying-for-schools,5f430222-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/charters,5dc9c8fa-7631-11e4-a3cb-005056011aef,whitehall-frontend,whitehall,guidance,publication,publication,,,
https://www.gov.uk/government/collections/child-abduction,5eb76407-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/child-poverty-training-materials,5eb8ff43-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/childcare-affordability-pilots,5eb7f6c1-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/childcare-and-early-years-providers-survey,5eb76d72-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/childcare-bill,c2625724-6796-489f-ae49-65379068b19b,government-frontend,whitehall,document_collection,document_collection,document_collection,Free early education,/alpha-taxonomy/free-early-education,
https://www.gov.uk/government/collections/childhood-neglect-training-resources,5ef5fbb0-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/children-in-care-and-adoption-performance-tables,cc485fc4-8b1b-42f7-ac69-54c8d7b3de88,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/childrens-social-care-statistics,b862b791-bc9c-486b-ad7d-a9942dbe1539,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/community-learning-government-funding,5f165782-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/construction-planning-and-the-built-environment-apprenticeships,c75ded78-0988-40f3-aa70-635a30e0e6b5,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/convert-to-an-academy-documents-for-schools,b630fd7d-45f0-4a58-9c7e-f87e1a7b0748,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/david-h-hargreaves-thinkpieces-on-the-self-improving-school-system,5fdc1dae-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/departmental-advice-schools,5ef4d489-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,School education from 5 to 18 years,/alpha-taxonomy/ca860c58-665d-491d-88ed-26bf2e76fe19-school-education-5-to-18,"Going to school, running a school, teaching and learning, alternatives to school."
https://www.gov.uk/government/collections/doncaster-childrens-social-care-directions-for-improvement,5efa5d04-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/early-learning-and-childcare-guidance-for-early-years-providers,ccd1e264-3954-4cf2-bed1-60c0eaaf15b2,collections,collections-publisher,topic,topic,topic,,,
https://www.gov.uk/government/collections/early-years-and-childcare-inspections-resources-for-inspectors-and-other-organisations,3a2f416f-fc2d-4e82-9afd-71fe6a9c3814,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/early-years-census,5ee41cb7-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,,,
https://www.gov.uk/government/collections/early-years-foundation-stage-profile-return,5ef51826-7631-11e4-a3cb-005056011aef,government-frontend,whitehall,document_collection,document_collection,document_collection,Early years curriculum from birth to 5 years,/alpha-taxonomy/05aefd16-99ac-4d76-87c4-54c4123b3012-early-years-curriculum-0-to-5,"Pre-school education, Early Years Foundation Stage, phonics."
